Time,On,Temperature,Setpoint
1850,68,65.99231559868997,70
1860,68,66.01733694424917,70
1870,68,66.04228878607069,70
1880,68,66.0671713172205,70
1890,68,66.0919847302282,70
1900,68,66.11672921708869,70
1910,68,66.14140496926345,70
1920,68,66.16601217768215,70
1930,68,66.19055103274414,70
1940,68,66.21502172431985,70
1950,68,66.2394244417523,70
1960,68,66.26375937385853,70
1970,68,66.28802670893116,70
1980,68,66.31222663473969,70
1990,68,66.33635933853208,70
2000,68,66.36042500703614,70
2010,68,66.38442382646105,70
2020,68,66.40835598249865,70
2030,68,66.43222166032504,70
2040,68,66.45602104460191,70
2050,68,66.47975431947802,70
2060,68,66.50342166859058,70
2070,68,66.52702327506671,70
2080,68,66.55055932152486,70
2090,68,66.57402999007618,70
2100,68,66.59743546232596,70
2110,68,66.62077591937506,70
2120,68,66.64405154182124,70
2130,68,66.66726250976062,70
2140,68,66.69040900278907,70
2150,68,66.71349120000355,70
2160,68,66.73650928000353,70
2170,68,66.7594634208924,70
2180,68,66.78235380027881,70
2190,68,66.80518059527805,70
2200,68,66.82794398251337,70
2210,68,66.8506441381175,70
2220,68,66.87328123773383,70
2230,68,66.89585545651792,70
2240,68,66.9183669691387,70
2250,68,66.94081594977997,70
2260,68,66.9632025721417,70
2270,68,66.9855270094413,70
2280,68,67.00778943441507,70
2290,68,67.02999001931947,70
2300,68,67.05212893593247,70
2310,68,67.07420635555488,70
2320,68,67.09622244901168,70
2330,68,67.11817738665331,70
2340,68,67.14007133835705,70
2350,68,67.16190447352827,70
2360,68,67.18367696110181,70
2370,68,67.2053889695432,70
2380,68,67.22704066685002,70
2390,68,67.2486322205532,70
2400,68,67.27016379771834,70
2410,68,67.29163556494689,70
2420,68,67.3130476883776,70
2430,68,67.33440033368765,70
2440,68,67.35569366609407,70
2450,68,67.37692785035492,70
2460,68,67.3981030507706,70
2470,68,67.41921943118513,70
2480,68,67.44027715498738,70
2490,68,67.46127638511243,70
2500,68,67.48221728404266,70
2510,68,67.50310001380922,70
2520,68,67.52392473599308,70
2530,68,67.54469161172642,70
2540,68,67.56540080169385,70
2550,68,67.5860524661336,70
2560,68,67.60664676483877,70
2570,68,67.62718385715867,70
2580,68,67.64766390199989,70
2590,68,67.66808705782768,70
2600,68,67.68845348266703,70
2610,68,67.70876333410408,70
2620,68,67.72901676928711,70
2630,68,67.74921394492799,70
2640,68,67.76935501730318,70
2650,68,67.78944014225512,70
2660,68,67.8094694751933,70
2670,68,67.82944317109553,70
2680,68,67.84936138450915,70
2690,68,67.86922426955218,70
2700,68,67.88903197991453,70
2710,68,67.90878466885923,70
2720,68,67.9284824892235,70
2730,68,67.9481255934201,70
2740,68,67.96771413343838,70
2750,68,67.98724826084549,70
2760,68,68.00672812678758,70
2770,68,68.02615388199095,70
2780,68,68.04552567676319,70
2790,68,68.0648436609944,70
2800,68,68.08410798415831,70
2810,68,68.10331879531343,70
2820,68,68.12247624310422,70
2830,68,68.14158047576225,70
2840,68,68.16063164110736,70
2850,68,68.17962988654872,70
2860,68,68.19857535908609,70
2870,68,68.21746820531085,70
2880,68,68.2363085714072,70
2890,68,68.2550966031533,70
2900,68,68.27383244592232,70
2910,68,68.29251624468364,70
2920,68,68.31114814400397,70
2930,68,68.3297282880484,70
2940,68,68.3482568205816,70
2950,68,68.36673388496887,70
2960,68,68.38515962417729,70
2970,68,68.4035341807768,70
2980,68,68.4218576969413,70
2990,68,68.44013031444979,70
3000,68,68.45835217468743,70
3010,68,68.47652341864664,70
3020,68,68.49464418692817,70
3030,68,68.51271461974225,70
3040,68,68.53073485690965,70
3050,68,68.54870503786267,70
3060,68,68.56662530164638,70
3070,68,68.58449578691959,70
3080,68,68.60231663195592,70
3090,68,68.62008797464493,70
3100,68,68.63780995249314,70
3110,68,68.6554827026251,70
3120,68,68.67310636178448,70
3130,68,68.69068106633506,70
3140,68,68.70820695226192,70
3150,68,68.72568415517229,70
3160,68,68.74311281029681,70
3170,68,68.76049305249043,70
3180,68,68.7778250162335,70
3190,68,68.79510883563286,70
3200,68,68.81234464442277,70
3210,68,68.82953257596603,70
3220,68,68.84667276325501,70
3230,68,68.86376533891264,70
3240,68,68.88081043519344,70
3250,68,68.89780818398457,70
3260,68,68.91475871680683,70
3270,68,68.93166216481569,70
3280,68,68.94851865880231,70
3290,68,68.96532832919453,70
3300,68,68.98209130605788,70
3310,68,68.9988077190966,70
3320,68,69.01547769765466,70
3330,68,69.03210137071673,70
3340,68,69.04867886690919,70
3350,68,69.0652103145011,70
3360,68,69.08169584140526,70
3370,68,69.09813557517913,70
3380,68,69.11452964302586,70
3390,68,69.13087817179523,70
3400,68,69.14718128798468,70
3410,68,69.16343911774028,70
3420,68,69.17965178685766,70
3430,68,69.19581942078307,70
3440,68,69.21194214461421,70
3450,68,69.2280200831014,70
3460,68,69.24405336064834,70
3470,68,69.2600421013132,70
3480,68,69.27598642880955,70
3490,68,69.2918864665073,70
3500,68,69.30774233743367,70
3510,68,69.32355416427413,70
3520,68,69.33932206937337,70
3530,68,69.35504617473622,70
3540,68,69.37072660202861,70
3550,68,69.38636347257854,70
3560,68,69.40195690737693,70
3570,68,69.41750702707866,70
3580,68,69.43301395200344,70
3590,68,69.44847780213675,70
3600,68,69.46389869713082,70
3610,68,69.47927675630545,70
